X,Y,Z,DISP,FEED MM/MIN,DUR TIME,TME
-38.822,-1.09,-1.5,0.28414257,1,0,0
-39.106,-1.099,-1.5,0.026248809,,0.18942838,0.18942838
-39.131,-1.107,-1.5,0.026172505,,0.017499206,0.206927586
-39.149,-1.126,-1.5,0.02570992,,0.017448336,0.224375923
-39.155,-1.151,-1.5,0.705375078,,0.017139947,0.24151587
-39.132,-1.856,-1.5,0.057078893,,0.470250052,0.711765921
-39.129,-1.913,-1.5,1.127238218,,0.038052595,0.749818516
-39.058,-3.038,-1.5,0.056142675,,0.751492145,1.501310662
-39.054,-3.094,-1.5,1.187294403,,0.03742845,1.538739112
-38.942,-4.276,-1.5,0.056320511,,0.791529602,2.330268714
-38.936,-4.332,-1.5,1.190487715,,0.037547008,2.367815722
-38.786,-5.513,-1.5,0.056568542,,0.793658477,3.161474198
-38.778,-5.569,-1.5,1.196857552,,0.037712362,3.19918656
-38.59,-6.751,-1.5,0.056885851,,0.797905035,3.997091595
-38.58,-6.807,-1.5,1.14554834,,0.0379239,4.035015495
-38.364,-7.932,-1.5,0.057070132,,0.763698894,4.798714389
-38.353,-7.988,-1.5,1.220561346,,0.038046755,4.836761144
-38.086,-9.179,-1.5,0.048507731,,0.813707564,5.650468708
-38.074,-9.226,-1.5,1.161776657,,0.032338488,5.682807195
-37.784,-10.351,-1.5,0.058240879,,0.774517771,6.457324967
-37.768,-10.407,-1.5,1.172800068,,0.038827253,6.496152219
-37.44,-11.533,-1.5,0.0585235,,0.781866712,7.278018931
-37.423,-11.589,-1.5,1.183659157,,0.039015666,7.317034598
-37.055,-12.714,-1.5,0.059135438,,0.789106105,8.106140702
-37.036,-12.77,-1.5,1.214385853,,0.039423625,8.145564328
-36.623,-13.912,-1.5,0.043081318,,0.809590569,8.955154896
-36.607,-13.952,-1.5,1.174153738,,0.028720879,8.983875775
-36.173,-15.043,-1.5,0.036769553,,0.782769159,9.766644934
-36.159,-15.077,-1.5,1.165755549,,0.024513035,9.791157969
-35.694,-16.146,-1.5,0.061326992,,0.777170366,10.56832833
-35.669,-16.202,-1.5,1.189414141,,0.040884662,10.609213
-35.16,-17.277,-1.5,0.055461698,,0.792942761,11.40215576
-35.136,-17.327,-1.5,1.201276404,,0.036974466,11.43913022
-34.588,-18.396,-1.5,0.063529521,,0.800850936,12.23998116
-34.558,-18.452,-1.5,1.157483909,,0.042353014,12.28233417
-33.998,-19.465,-1.5,0.038948684,,0.771655939,13.05399011
-33.979,-19.499,-1.5,0.025553865,,0.025965789,13.0799559
-33.966,-19.521,-1.5,1.184719376,,0.01703591,13.09699181
-33.36,-20.539,-1.5,0.059682493,,0.789812917,13.88680473
-33.329,-20.59,-1.5,1.196160524,,0.039788329,13.92659306
-32.685,-21.598,-1.5,0.005830952,,0.79744035,14.72403341
-32.682,-21.603,-1.5,0.067675697,,0.003887301,14.72792071
-32.644,-21.659,-1.5,1.158861942,,0.045117132,14.77303784
-31.989,-22.615,-1.5,0.061032778,,0.772574628,15.54561247
-31.954,-22.665,-1.5,1.143483275,,0.040688519,15.58630099
-31.279,-23.588,-1.5,0.05,,0.762322183,16.34862317
-31.249,-23.628,-1.5,0.071217975,,0.033333333,16.3819565
-31.205,-23.684,-1.5,1.159824125,,0.04747865,16.42943515
-30.491,-24.598,-1.5,0.054671748,,0.773216083,17.20265124
-30.456,-24.64,-1.5,1.175891151,,0.036447832,17.23909907
-29.704,-25.544,-1.5,0.070837843,,0.783927434,18.0230265
-29.657,-25.597,-1.5,1.129086356,,0.047225229,18.07025173
-28.907,-26.441,-1.5,0.070092796,,0.752724238,18.82297597
-28.86,-26.493,-1.5,1.167179506,,0.04672853,18.8697045
-28.058,-27.341,-1.5,0.060108236,,0.778119671,19.64782417
-28.016,-27.384,-1.5,1.216940837,,0.040072157,19.68789633
-27.152,-28.241,-1.5,0.049517674,,0.811293891,20.49919022
-27.116,-28.275,-1.5,1.153313487,,0.033011782,20.532202
-26.272,-29.061,-1.5,0.035383612,,0.768875658,21.30107766
-26.246,-29.085,-1.5,0.040360872,,0.023589075,21.32466673
-26.216,-29.112,-1.5,1.19490418,,0.026907248,21.35157398
-25.316,-29.898,-1.5,0.048270074,,0.796602787,22.14817677
-25.279,-29.929,-1.5,1.153267098,,0.032180049,22.18035682
-24.387,-30.66,-1.5,0.036235342,,0.768844732,22.94920155
-24.359,-30.683,-1.5,0.054203321,,0.024156895,22.97335844
-24.316,-30.716,-1.5,1.151073412,,0.036135547,23.00949399
-23.403,-31.417,-1.5,0.05,,0.767382275,23.77687627
-23.363,-31.447,-1.5,1.198636308,,0.033333333,23.8102096
-22.39,-32.147,-1.5,0.056035703,,0.799090872,24.60930047
-22.344,-32.179,-1.5,1.164326415,,0.037357135,24.64665761
-21.378,-32.829,-1.5,0.045486262,,0.77621761,25.42287522
-21.34,-32.854,-1.5,1.217197601,,0.030324174,25.45319939
-20.309,-33.501,-1.5,0.054708317,,0.811465067,26.26466446
-20.262,-33.529,-1.5,1.183593258,,0.036472212,26.30113667
-19.24,-34.126,-1.5,0.044777226,,0.789062172,27.09019884
-19.201,-34.148,-1.5,1.178617835,,0.029851484,27.12005033
-18.165,-34.71,-1.5,0.056356011,,0.785745223,27.90579555
-18.115,-34.736,-1.5,1.196747676,,0.037570674,27.94336622
-17.046,-35.274,-1.5,0.061741396,,0.797831784,28.74119801
-16.99,-35.3,-1.5,1.178463831,,0.041160931,28.78235894
-15.921,-35.796,-1.5,0.061846584,,0.785642554,29.56800149
-15.864,-35.82,-1.5,1.160882854,,0.041231056,29.60923255
-14.796,-36.275,-1.5,0.028231188,,0.773921902,30.38315445
-14.77,-36.286,-1.5,1.179969915,,0.018820792,30.40197524
-13.67,-36.713,-1.5,0.060166436,,0.78664661,31.18862185
-13.614,-36.735,-1.5,1.192993713,,0.040110957,31.22873281
-12.489,-37.132,-1.5,0.059135438,,0.795329142,32.02406195
-12.433,-37.151,-1.5,1.180588413,,0.039423625,32.06348558
-11.308,-37.509,-1.5,0.050960769,,0.787058942,32.85054452
-11.259,-37.523,-1.5,1.177595007,,0.033973846,32.88451837
-10.126,-37.844,-1.5,0.058240879,,0.785063338,33.6695817
-10.07,-37.86,-1.5,1.164656172,,0.038827253,33.70840896
-8.94,-38.142,-1.5,0.052630789,,0.776437448,34.48484641
-8.889,-38.155,-1.5,0.058249464,,0.035087193,34.5199336
-8.832,-38.167,-1.5,1.150944829,,0.038832976,34.55876657
-7.707,-38.41,-1.5,0.057271284,,0.767296553,35.32606313
-7.651,-38.422,-1.5,1.200770586,,0.038180856,35.36424398
-6.47,-38.639,-1.5,0.057558666,,0.800513724,36.16475771
-6.413,-38.647,-1.5,1.137771946,,0.038372444,36.20313015
-5.288,-38.817,-1.5,0.056568542,,0.75851463,36.96164478
-5.232,-38.825,-1.5,1.190380191,,0.037712362,36.99935714
-4.05,-38.966,-1.5,0.056320511,,0.793586794,37.79294394
-3.994,-38.972,-1.5,1.185483024,,0.037547008,37.83049094
-2.813,-39.075,-1.5,0.056142675,,0.790322016,38.62081296
-2.757,-39.079,-1.5,1.183785876,,0.03742845,38.65824141
-1.575,-39.144,-1.5,0.0560803,,0.789190584,39.44743199
-1.519,-39.147,-1.5,1.181331875,,0.037386866,39.48481886
-0.338,-39.175,-1.5,0.057,,0.787554584,40.27237344
-0.281,-39.175,-1.5,1.181034292,,0.038,40.31037344
0.9,-39.166,-1.5,0.056035703,,0.787356195,41.09772964
0.956,-39.164,-1.5,1.182894754,,0.037357135,41.13508677
2.138,-39.118,-1.5,0.0560803,,0.788596503,41.92368328
2.194,-39.115,-1.5,1.184054897,,0.037386866,41.96107014
3.375,-39.03,-1.5,0.057218878,,0.789369932,42.75044008
3.432,-39.025,-1.5,1.187182379,,0.038145919,42.78858599
4.613,-38.904,-1.5,0.056435804,,0.791454919,43.58004091
4.669,-38.897,-1.5,1.135222005,,0.037623869,43.61766478
5.794,-38.745,-1.5,0.057558666,,0.75681467,44.37447945
5.851,-38.737,-1.5,0.056718604,,0.038372444,44.4128519
5.907,-38.728,-1.5,1.162958727,,0.037812402,44.4506643
7.054,-38.536,-1.5,0.034525353,,0.775305818,45.22597012
7.088,-38.53,-1.5,1.205526026,,0.023016902,45.24898702
8.27,-38.293,-1.5,0.057271284,,0.803684018,46.05267104
8.326,-38.281,-1.5,1.155105623,,0.038180856,46.09085189
9.451,-38.019,-1.5,0.057723479,,0.770070415,46.86092231
